text,mood
Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,worry
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,worry
I need to be held...  Gnite.,worry
no more arrested development. i am sad.,sadness
omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,sadness
I feel so deflated. No more doggy.,sadness
@blood_rain i wanna see her hair  hows everyone?,worry
im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
Aww...  Pray for the arroyo family everyone!,worry
Fuuudge. Movie store is closed,sadness
ALO is so sad and quiet and empty tonight,sadness
@wuzzyangel You never answered your DM I sent you....   I need your info...,worry
Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,worry
@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,sadness
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,worry
@jose3030 I didn't think anyone caught that,worry
Sad that Christian Lacroix had to file bankruptcy,sadness
I dont feel good AT ALL. fuckkk,sadness
looks like i'll never go to the zoo,worry
@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,worry
@Moss1982 bad times?,worry
Have to go to the dreaded DMV tomorrow,sadness
english class! working on interactive orals,happiness
@SharonHayes Thank you for the rec but that doesn't work,worry
My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,worry
I don't know how ima work out tomorrow wit my body dis sore  ugh,worry
I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,worry
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,worry
God I just want to sleep.,sadness
I feel so deflated. No more doggy.,worry
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,sadness
is feeling bad  just got bad news about my Mum,worry
@RealBlackWidow But but I dun wanna,sadness
@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,sadness
don't feel like working  I think I tweet this too often!,worry
feels sick to my stomach and idkk whyy,sadness
vineri...nimic special sau probabil un alt weekend pierdut...,worry
FB is boring   and i wanna sing RIGHT NOW..! *-*,happiness
@judyrey  The link doesn't work,sadness
The humpalow um ya I think so... Cell is dying,worry
Last day at work...Sick to the bone,worry
i feel like I'm on house arrest.,worry
@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,worry
@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,happiness
my stupid tooooth hurts,sadness
@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,sadness
It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,worry
@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,worry
my dog ran awayyy,worry
does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,worry
I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,sadness
@Penguin_J heehee. i love you! i am tired.,sadness
my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,worry
@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,worry
@charloro jealous  it looks like schindler's list in toronto,worry
@joiskol  being in your room makes me sad.,sadness
@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,sadness
@meljachin: eww. dislike,sadness
Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,worry
my stomach feels like it's touching the ground..i'm SO full,worry
Sooo much work so little time,worry
missed iron chef,sadness
@thevowel the DS version sucks,sadness
what a bad day,sadness
is feeling so giddy and wanna go home.,worry
Up and packing. Its the last day of youth camp,worry
Somebody please save the polar bears!,worry
@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,happiness
It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.,worry
guess im staying home tonight...no movie-ing for me,worry
went to the cd store to search for the cd. But,sadness
@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs,worry
I miss my mom..  &quot;May angels lead you in&quot;,sadness
@chocolovere i feel the same way every day,sadness
Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,sadness
Sleppytime. Really missing my godfather right now. Love you Wayne,sadness
So have a headache right now and it sucks,sadness
@JayDz hope ya sleepin well  guys still here,worry
damn being drunk and hot sucks,worry
misses my baby.,sadness
is not sleeping because he has paperwork to do.,worry
Showered in ice-cold water. Sweating now. Means one thing: I'm sick,worry
I'm poorly and can't sleep,sadness
Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,worry
@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again,worry
@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,worry
didnt say goodnight to you,worry
has work tom.,sadness
today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,sadness
@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store,worry
Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,sadness
@nickkk_ that sucks!,sadness
Having Fever  dont feel to work,sadness
missing @MeLDiBiAsE...6 days can't pass quick enough,sadness
is desperatly hoping my dad takes me to vanessa's game,worry
@pb_and_jay hi!  Fuck your job!,worry
Missing you all deeply,sadness
Somebody please save the polar bears!,worry
I don't want her to leave..,sadness
At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.,worry
@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late,worry
@WillyNorthpole I wish I was there,sadness
morning again! I hate mornings. So offensive!,sadness
bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,sadness
@brianshead waah. We're no longer your peeps.,sadness
@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha,sadness
My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,happiness
hoping i didn't fail english. that would just be sad,worry
Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,worry
@MariusLT I'm sorry about your bad driving experiences.,sadness
Already misses @CMontecillo,sadness
I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,worry
Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,sadness
@laurelexmachina awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles,worry
thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick,sadness
#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,worry
#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates,worry
@debbylovespr I know. We came back from 22 down in the 1st just to lose the lead in the last 6 minutes.,worry
gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?,worry
I'm bummed that I can't wear my sweet Nike kicks to work.,worry
@Pickleybaby - your twitter is broken,worry
@joek949 It's depressing I'm stuck inside all day,sadness
@rachelasha I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed,worry
i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,sadness
Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,happiness
depressed that i wasn't included in the morcom gardens quiz on facebook,worry
Upsidedown tomato plants died!,sadness
@ashleypratt Oh come on!!! You get next week off and I get next week full of exams!,worry
@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:,sadness
My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house,worry
@RDeRozario woops! I only just realized my DMs to you are not going through,worry
@prncsztalia why do you hate me!?,sadness
http://twitpic.com/663vr - Wanted to visit the animals but we were too late,sadness
@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!,worry
#jonaswebcast i just missed it!!!!,sadness
So exhausted..can't sleep. I don't like these nights,sadness
i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,sadness
@NothinButSin sorry to hear that.,sadness
Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,sadness
Cannot sleep. 2+ hours of tossing and turning.,worry
Omg going to die of swine flu when I go to Melbourne,worry
finished a whole box of ice cream,sadness
@crispynoodles plus I just deposited tax return cheque but for first time in 7+ years it didn't clear immediately,worry
@AshleighRyder I knooww  &amp; my hot water bottle iss in whangamata without me. ahhhhh,worry
Holy crap! It's raining in LA and I don't have a jacket!  oh no.,worry
@chrisontv88 btw I am not a wimp,sadness
Rejecting all food substances.,worry
@queenbmakeup i can't add you on myspace girly  it asks for a last name and email,sadness
@meghanwong don't think i can take a needle. watched a horribly gory short film on drugs a few months ago. i'm scarred for life.,worry
I don't wanna go back to work   sleepy time.,sadness
@jprestonian It feels not good.,worry
Thinking about getting up for work,worry
I was a very naughty girl tonight. dissappointed with myself,worry
@rbuerckner That's better than Missy 8 telling me I should be on The Biggest Loser,worry
http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!,sadness
I miss my friend,sadness
Yea i just saw this really sad commercial,sadness
Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,sadness
@elephantgravy my new lens isn't working. It worked for a bit and now gives an fEE error,worry
Hates having to sleep alone,sadness
I loved johnny carson now I'm going to hate seeing jay leno go,sadness
even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,sadness
doing my english essay (on r&amp;j...wtf) that i should have done a long time ago when it was assigned last thursday,worry
@Tiff_Tiff_Marie  I think I do it too much....,worry
@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though,sadness
@GQbound I didn't end up really eating  had more snacks. sigh,worry
@Harishk: @krist0ph3r @saurabh sorry guys i have to drop out of the trip... some personal commitments..,worry
I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..,sadness
@UniqueMakis Awesome! Wish I could fly out to see her,happiness
@lunafactor I kinda wish I went with you now!.. I can't fall asleep,sadness
ummm sooo yeh....its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body,worry
@charleyboorman http://twitpic.com/65623 - OUCH!! That looks so painful,worry
@Dakshinamurti Not yet... sorry,sadness
All I want to do is sit back &amp; relax for a little while. How can that be this difficult?!,worry
@zhenerak I thought I was your best friend?,worry
FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,sadness
god i cant even catch public transport. swine flu is shit house,worry
someone take me to LA  I NEED TO SEE THE LEMON TREE,happiness
um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail,sadness
tummy ache.,sadness
as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,sadness
that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,happiness
@omgjoker o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn't working n e more,worry
Very Sad.... please get better Grandma,worry
@aannniieee uuuugh  i hate everything,worry
Gosh. Today's weather is HOrriTerrible! Extreme hotness. I'm losing a lot of water weight by doing nothing.  - http://tweet.sg,worry
@alyssainescruz aww. me too  annoying!!! :|,worry
@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,sadness
RIP kelly  fucccccck,sadness
@RockedByPickler well I don't have vacations so let's NOT go there,worry
Not feeling too good,sadness
Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good,sadness
Taking a nap after work=no sleep right now. The nap felt soooo good but now it seems like a bad idea,worry
is going home... I've seriously had enough,worry
i miss oklahomaaaaa  listening to citizen cope til i pass out.,sadness
@skyduke478 that makes me sad for you,worry
Feels like im going to cough up a lung,worry
its funny. i'm kinda sad on my last day,sadness
Jenny fell asleep and didn't come over,sadness
@thedailysurvey Why do we love those that we cannot have?,worry
Wishes you had teased me with movie night,sadness
@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,sadness
I want a new phone  I've seen too much cellphone commercials (,worry
@IvanaE i love it to.. but i knw there gna cut stuff out on tv,sadness
@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.,sadness
Ran out of money. I r a sad panda,worry
wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,sadness
Wishes you hadn't teased me with movie night,sadness
@RitikaKar  http://bit.ly/179jxS But gotta wiat till next week  btw...you from Mumbai itself?,worry
i have a really bad head ache  gonna go to bed i might be back maybe not bye bye,worry
friends from Traveller's Tales held a farewell party for me but I kinda disappointed them that I would still be here until Sep. My fault.,worry
should be sleeping.  lost my voice a couple day ago.,sadness
I was too sleepy earlier and i didnt get to see matt,sadness
I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now,sadness
@janesas_mommy oh  well i hope she gets better,worry
@jordskkk who are the crew? please dont be me...  i dont think it is but i could be wrong i have been a number of times...,worry
how to have a glowing face? my complexion is always so pale,sadness
haven't watched gossip girl in ageeees ! and need one tree hill season 3 . god i'm so slow,worry
@imjustlalayone  I'm so sorry .. ya gotta let me know! I've been booked all week!,worry
@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,happiness
@letsgeticecream I miss you!  Come to Michigan like now....I can't wait till July,worry
farrrrr . pdhpe assignment due next week and have english homework !,worry
forgot his access card in the carï¿½too lazy to fetch it,worry
oh no my tweetdeck is malfunctioning :O il have web will its fixd,sadness
@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,sadness
@carrotmadman6 What happened? I'm afraid I missed a large part of the story,worry
Dell FX100 Pc-over-IP audio device (Teradici) is giving me a hard time in #Linux #Ubuntu Jaunty  Kernel isnt loading the snd-hda-intel drv,worry
Just got my ass kicked in Tripoly lol  I got such bad cards... i suck,sadness
sooo.... Hot in here hufff.....,worry
closeness or distance? closeness... but now everything seems so distant...,worry
Annnnnnddd another one bites the dust,sadness
Ahhhhh! My &quot;Let The Right One In&quot; DVD broke,worry
@hisheidi  my thoughts dwell on a certain person,worry
fml my work uniform is on the washing line,worry
ohh shit i just realized she still not talking to me  it b like dat some times..,worry
@A_Lay aww well I just randomly woke up and now I can't sleep! Too many things on my mind,worry
@donperignon me too baby... Miss you,worry
@hammett I wish I could have time for my xbox  project all tied,sadness
all my pancakes always end up soggy.,worry
Why do none of my thoughts make sense when I'm sober?,worry
I cant to sleep and tomorrow i must wake up too early,worry
And trash repops.  Getting it tomorrow night I suppose.,sadness
Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get,worry
feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!,sadness
@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj,sadness
@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/,sadness
Missing Everyone,sadness
another build failed! something is not right in the big scheme of things!,worry
My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.,sadness
I keep on falling asleep when I'm suppose to be awake. I miss my babyy..,worry
On my way to nottingham..I so don't want to be going,worry
I need to wake up earlier so I'm actually tired enough to fall asleep,worry
@wired that is so sad,sadness
is still sick  sigh,sadness
i feel really weird,sadness
@BrianLimond Ever seen the tv show Dead Like Me? I died and became a grim reaper. Taking people's souls after accidents,worry
Steam Punlk fashion show at Anime North and for the first year since TorCon we aren't back til @Anticipationsf &amp; missed it,worry
my throat hurts  gonna go read and go to bed. text mee!,sadness
I am dying to hangout on a Friday afternoon...,worry
Eh.. it's cold,worry
fjdskal im really frustrated.,sadness
Wondering how come mcdonalds take so long to deliver my food.,sadness
Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!,sadness
class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I'll forget -_-,worry
@keytar @badtwin BUT THEY ARE EXPENSIVE.,worry
Misses his twitastic fwiends,worry
@Deziree_Divine take my advice lookin through the phone cost me my relationship,worry
what a beautiful day - shame I've got to spend it in an office,sadness
Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be,sadness
Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went,sadness
http://twitpic.com/664b7 - miss my bestfriend :'( now she left school,sadness
Tummy hurts,sadness
farewelling an employee tonight...,sadness
@heavenlyriot Girls are confusing.,sadness
@ lyrically_Me   Why would you do that to me?!,sadness
Blackout in the city is never good,sadness
why do i think i have to take medicine cuz i was laughing to hard?. my head should not be in this much pain. i thought laughter was gud,worry
My tongue still hurts.  I need to sleep!!!,worry
@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon,sadness
@t_isfortammy Sad tweets are sad,sadness
needs a little lie down. not feeling great today. boo,worry
Have decided I just can't stand @GuyKawasaki's Alltop spam any longer.,sadness
Playn madden with austin. Im going to miss him..,worry
i miss rich,sadness
Headache of the century coming- I can feel it  Fuck.,sadness
disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.,sadness
PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here)   @Jonasbrothers,worry
I just got mad tired so no sex  sleepytime night!,worry
home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it,sadness
New Comment On Jowki:  I wish I had the time to blog more often  http://cli.gs/ZzRe1P,worry
we can get a temporary tattoo. I would be totally sad if he died.,worry
@professor12 gray! .... i so feel neglected,worry
@Desert_Star95 oh so you know how I feel then  Damn representative for bank of america tried to make it sound like I did it. What a b ...,worry
is tired and cold and runny,worry
@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...,sadness
@xMyLifesAStoryx rob got lucky that game he beat me 209-205,sadness
someone save me!! i dont want to pack anymore,worry
home from school had the shitest day today,sadness
bruise on knee will make it hard to skate tomorrow.,worry
Sitting by myself. Everyone took the good seats.,sadness
NO FREE WIFI!?!? My vacay is ruined!!!!,worry
@sfannah Ahhhhh  Well at least I'm up to!,sadness
@DHughesy ME! oh wait wrong state,sadness
Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!,happiness
Trying to sleep without any pills... Not working. 3am and wide awake. But now it's too late to take them because I'll sleep til 3pm,worry
Phone will die soon. What to do now? Oh no!,worry
Sorry was that mean,sadness
Forgot my power cable at home today,worry
I can't sleep. I can't find my grandmother's quilt or locket. I'm sick at myself cause I may have lost them somehow. Or they were stolen,worry
@ZachMoore1 I thought I was going to see a pic of your clean car,worry
@hot30 i want to! but im not over 18 and t&amp;c says over 18's only  wanna make an exception for me ;),worry
@ddlovato Yayyyyyyyyyyy!!!!! but thats sp far away!,worry
@Sageey My public talk in July got canceled and I don't know why.,worry
@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL,happiness
